BUILDING_NUMBER,BUILDING_NAME_LONG,START_DATE_USE_YEAR,BUILDING_GROUP_LEVEL1,GJ,LOG_GJ
13,Vannevar Bush Building,2023,Non-CUP,96880.04155867084,4.986234316434516
13,Vannevar Bush Building,2024,Non-CUP,98251.2917910752,4.992338269114107
14,Charles Hayden Memorial Library,2009,Non-CUP,35797.27160924062,4.55384992691744
14,Charles Hayden Memorial Library,2010,Non-CUP,38496.07269314829,4.585416425750237
14,Charles Hayden Memorial Library,2011,Non-CUP,33326.74590760411,4.522792910319263
14,Charles Hayden Memorial Library,2012,Non-CUP,26310.173911851703,4.420123718808163
14,Charles Hayden Memorial Library,2013,Non-CUP,37753.13986764859,4.576953077037705
14,Charles Hayden Memorial Library,2014,Non-CUP,36594.51291447653,4.5634159709241
14,Charles Hayden Memorial Library,2015,Non-CUP,33409.96989260457,4.523876084273821
14,Charles Hayden Memorial Library,2016,Non-CUP,25542.877881206456,4.40726982705095
14,Charles Hayden Memorial Library,2017,Non-CUP,33090.19134909488,4.5196992785414105
14,Charles Hayden Memorial Library,2018,Non-CUP,26127.582204167607,4.41709922281684
14,Charles Hayden Memorial Library,2019,Non-CUP,18949.130560611124,4.277589288109299
14,Charles Hayden Memorial Library,2020,Non-CUP,14610.49629915274,4.164664968591556
14,Charles Hayden Memorial Library,2021,Non-CUP,19122.5590502099,4.281546010692027
14,Charles Hayden Memorial Library,2022,Non-CUP,20900.601389493593,4.320158782588611
14,Charles Hayden Memorial Library,2023,Non-CUP,21664.163304226226,4.335741920724447
14,Charles Hayden Memorial Library,2024,Non-CUP,22532.667988186982,4.352812617553702
16,Dorrance Building,2009,Non-CUP,68471.6079779033,4.835510526899458
16,Dorrance Building,2010,Non-CUP,71629.33251507803,4.855090904161986
16,Dorrance Building,2011,Non-CUP,68740.7358823267,4.837214177029067
16,Dorrance Building,2012,Non-CUP,57817.92133781973,4.762062473918135
16,Dorrance Building,2013,Non-CUP,59943.274633117515,4.777740464272741
16,Dorrance Building,2014,Non-CUP,57252.645176219674,4.757795556669524
16,Dorrance Building,2015,Non-CUP,59571.30368759587,4.775037104516062
16,Dorrance Building,2016,Non-CUP,57670.014480423495,4.760950060458361
16,Dorrance Building,2017,Non-CUP,54132.20460570357,4.73345571466902
16,Dorrance Building,2018,Non-CUP,51500.89761582533,4.711814798482018
16,Dorrance Building,2019,Non-CUP,47463.19082041378,4.676356931292132
16,Dorrance Building,2020,Non-CUP,46298.76707240799,4.6655694259903235
16,Dorrance Building,2021,Non-CUP,49634.22840539625,4.695781274893215
16,Dorrance Building,2022,Non-CUP,49968.45311016695,4.698695905053611
16,Dorrance Building,2023,Non-CUP,49278.56669393502,4.69265806754177
16,Dorrance Building,2024,Non-CUP,47276.55161139678,4.674645791249698
18,Camille Edouard Dreyfus Building,2009,Non-CUP,88049.18060582371,4.94472531873572
18,Camille Edouard Dreyfus Building,2010,Non-CUP,85892.57311571178,4.933955613257226
18,Camille Edouard Dreyfus Building,2011,Non-CUP,90610.1448941348,4.957176824883081
18,Camille Edouard Dreyfus Building,2012,Non-CUP,87282.56299613607,4.940927490544724
18,Camille Edouard Dreyfus Building,2013,Non-CUP,94474.80953185823,4.9753160250204225
18,Camille Edouard Dreyfus Building,2014,Non-CUP,87907.4205650028,4.944025536898681
18,Camille Edouard Dreyfus Building,2015,Non-CUP,80104.16661503342,4.903655106481927
18,Camille Edouard Dreyfus Building,2016,Non-CUP,81648.03213329129,4.91194572190855
18,Camille Edouard Dreyfus Building,2017,Non-CUP,82032.4580043652,4.913985724859992
18,Camille Edouard Dreyfus Building,2018,Non-CUP,87256.72689187672,4.940798918031305
18,Camille Edouard Dreyfus Building,2019,Non-CUP,82443.71366505968,4.916157546279395
18,Camille Edouard Dreyfus Building,2020,Non-CUP,82705.63843162378,4.917535118455423
18,Camille Edouard Dreyfus Building,2021,Non-CUP,78037.527676091,4.892303501962367
18,Camille Edouard Dreyfus Building,2022,Non-CUP,75861.50244540462,4.880021439701956
18,Camille Edouard Dreyfus Building,2023,Non-CUP,72716.19400276814,4.861631139646632
18,Camille Edouard Dreyfus Building,2024,Non-CUP,79405.20311468131,4.899848960990812
2,THE SIMONS BUILDING,2009,Non-CUP,36538.85385669168,4.562754920369527
2,THE SIMONS BUILDING,2010,Non-CUP,40190.27358549084,4.604120962555921
2,THE SIMONS BUILDING,2011,Non-CUP,38413.654707513895,4.5844856282742406
2,THE SIMONS BUILDING,2012,Non-CUP,32224.538773953267,4.508186710063905
2,THE SIMONS BUILDING,2013,Non-CUP,37345.677911366045,4.572240347306499
2,THE SIMONS BUILDING,2014,Non-CUP,31026.246823071306,4.491729243111927
2,THE SIMONS BUILDING,2015,Non-CUP,31626.292219381157,4.500048279394353
2,THE SIMONS BUILDING,2016,Non-CUP,28577.402909522974,4.456022757928953
2,THE SIMONS BUILDING,2017,Non-CUP,38370.805876205886,4.5840009204887515
2,THE SIMONS BUILDING,2018,Non-CUP,37643.64276054004,4.575691643295408
2,THE SIMONS BUILDING,2019,Non-CUP,35491.790953663,4.550127914863753
2,THE SIMONS BUILDING,2020,Non-CUP,35213.57469897244,4.546710114625313
2,THE SIMONS BUILDING,2021,Non-CUP,40309.02921387965,4.605402338908893
2,THE SIMONS BUILDING,2022,Non-CUP,45541.75714671573,4.6584097830731634
2,THE SIMONS BUILDING,2023,Non-CUP,51349.03285251002,4.710532268171396
2,THE SIMONS BUILDING,2024,Non-CUP,39521.94808747644,4.596838343374843
24,Building 24,2009,Non-CUP,14927.611963991389,4.17399033727544
24,Building 24,2010,Non-CUP,14967.739873785817,4.175156226899684
24,Building 24,2011,Non-CUP,12294.914729129703,4.089725521053845
24,Building 24,2012,Non-CUP,11594.062765060076,4.064235647116818
24,Building 24,2013,Non-CUP,11683.128185995354,4.067559141750855
24,Building 24,2014,Non-CUP,13493.076904976968,4.130110995667536
24,Building 24,2015,Non-CUP,12823.335641795537,4.1080010097690325
24,Building 24,2016,Non-CUP,12763.220702280963,4.105960279144842
24,Building 24,2017,Non-CUP,13364.451134156376,4.12595112737973
24,Building 24,2018,Non-CUP,16113.184219573835,4.207181372346017
24,Building 24,2019,Non-CUP,16642.179227164717,4.221210194813141
24,Building 24,2020,Non-CUP,15035.542814314234,4.177119111652097
24,Building 24,2021,Non-CUP,15739.448030884569,4.196989497950345
24,Building 24,2022,Non-CUP,16389.552920598064,4.214567106910009
24,Building 24,2023,Non-CUP,16973.322316368292,4.229766858372206
24,Building 24,2024,Non-CUP,17144.47208418198,4.23412411677925
26,Karl Taylor Compton Laboratories,2009,Non-CUP,26702.261948786825,4.4265480520113085
26,Karl Taylor Compton Laboratories,2010,Non-CUP,29459.78115000747,4.4692295162439795
26,Karl Taylor Compton Laboratories,2011,Non-CUP,31723.00362162094,4.501374300793706
26,Karl Taylor Compton Laboratories,2012,Non-CUP,31589.59198452772,4.499544016534699
26,Karl Taylor Compton Laboratories,2013,Non-CUP,34770.20974918388,4.541207310546312
26,Karl Taylor Compton Laboratories,2014,Non-CUP,32357.7074665011,4.5099777444013744
26,Karl Taylor Compton Laboratories,2015,Non-CUP,26801.341966180637,4.428156540070432
26,Karl Taylor Compton Laboratories,2016,Non-CUP,24337.663551689304,4.386278883043034
26,Karl Taylor Compton Laboratories,2017,Non-CUP,29351.47927557925,4.467629994000394
26,Karl Taylor Compton Laboratories,2018,Non-CUP,31458.293634852587,4.497735161864326
26,Karl Taylor Compton Laboratories,2019,Non-CUP,30194.924946565356,4.479933954449948
26,Karl Taylor Compton Laboratories,2020,Non-CUP,28466.52868654597,4.454334510905516
26,Karl Taylor Compton Laboratories,2021,Non-CUP,29732.93901538922,4.473237840085514
26,Karl Taylor Compton Laboratories,2022,Non-CUP,28746.404812072775,4.458583537098309
26,Karl Taylor Compton Laboratories,2023,Non-CUP,29507.061339327018,4.4699259594944
26,Karl Taylor Compton Laboratories,2024,Non-CUP,37693.913371934104,4.576271228126438
3,Richard Cockburn MacLaurin Buildings (3),2009,Non-CUP,50021.11709861603,4.699153386401828
3,Richard Cockburn MacLaurin Buildings (3),2010,Non-CUP,52056.73160995869,4.7164768973821545
3,Richard Cockburn MacLaurin Buildings (3),2011,Non-CUP,51343.877153290065,4.71048866064828
3,Richard Cockburn MacLaurin Buildings (3),2012,Non-CUP,43841.31761839735,4.641883598072118
3,Richard Cockburn MacLaurin Buildings (3),2013,Non-CUP,56620.628580745666,4.752974686428483
3,Richard Cockburn MacLaurin Buildings (3),2014,Non-CUP,50267.672643363345,4.701288778175299
3,Richard Cockburn MacLaurin Buildings (3),2015,Non-CUP,48984.19099810996,4.6900559398227335
3,Richard Cockburn MacLaurin Buildings (3),2016,Non-CUP,40820.64316809428,4.610879843156969
3,Richard Cockburn MacLaurin Buildings (3),2017,Non-CUP,49811.70588599576,4.6973314151350865
3,Richard Cockburn MacLaurin Buildings (3),2018,Non-CUP,53704.77621439106,4.730012911236127
3,Richard Cockburn MacLaurin Buildings (3),2019,Non-CUP,54693.42087546583,4.737935087771705
3,Richard Cockburn MacLaurin Buildings (3),2020,Non-CUP,25299.044985099143,4.403104127281358
3,Richard Cockburn MacLaurin Buildings (3),2021,Non-CUP,25835.10120190427,4.412210167114214
3,Richard Cockburn MacLaurin Buildings (3),2022,Non-CUP,33660.188607088916,4.5271165451153985
3,Richard Cockburn MacLaurin Buildings (3),2023,Non-CUP,37286.410963495415,4.571550581973164
