START_DATE_USE_YEAR,BUILDING_NUMBER,residual,observed,NUM_OF_ROOMS,LOG_BUILDING_VOLUME,AGE
2009,1,0.0840267071311249,4.480394554115737,406.0,5.427272110298091,93
2009,10,-0.0318728975038791,4.624302486877451,569.0,5.785571536453728,94
2009,11,0.0063842036784058,3.904511514222457,182.0,4.7401507893275765,82
2009,13,0.4861719996364639,4.975340648923499,578.0,5.555253286459922,45
2009,14,0.1380570048859191,4.55384992691744,92.0,5.454061145412611,59
2009,16,0.3094877265206053,4.835510526899458,375.0,5.606078683290068,58
2009,18,0.4994397573399274,4.94472531873572,529.0,5.494734313966214,41
2009,2,0.1184185106407857,4.562754920369527,384.0,5.4934253430986,94
2009,24,-0.1076558280999266,4.17399033727544,316.0,5.269059946401413,69
2009,26,-0.0032925688999601,4.4265480520113085,400.0,5.473434264829601,53
2009,3,0.1847814577340925,4.699153386401828,547.0,5.590011017624418,94
2009,31,0.1431094953834986,4.228695583912828,346.0,4.998674361249207,82
2009,32,-0.0157976445463345,4.989635414510371,1319.0,6.267231251450969,6
2009,33,0.2698930978298004,4.267527741809634,158.0,4.877380912924324,82
2009,34,-0.1363804593208706,3.787956723063289,62.0,4.776296707702469,27
2009,35,-0.1370444687191154,4.086801416665062,242.0,5.189347835813739,58
2009,36,0.0730442073300441,4.654729399616008,624.0,5.682842441873079,37
2009,37,0.2517040558392347,4.640431325988006,415.0,5.41673502456451,41
2009,38,0.1161592796397892,4.447268529282581,323.0,5.337274267227078,37
2009,39,0.7846441165304645,5.08583779652494,250.0,5.296017837388619,42
2009,4,0.1671164158169436,4.664649673765028,499.0,5.5667888812825375,94
2009,41,0.1388099588827445,3.976090845545987,107.0,4.656237755169424,93
2009,46,0.3838774820092085,5.346612402665751,1424.0,6.20834643756148,5
2009,48,0.2224928339914935,4.320672119272459,156.0,5.016041583212003,59
2009,5,0.1482651501947378,4.386825090517667,277.0,5.20963992392559,90
2009,50,-0.1028925161192004,4.148578276605657,200.0,5.2274452233912765,93
2009,51,-0.0542709129303982,2.9812181489470326,24.0,3.550490194511218,73
2009,54,-0.3061502346702465,4.506825690687578,657.0,6.001814469263578,46
2009,56,0.425174466036708,5.008455575456388,465.0,5.685043364136273,45
2009,57,0.091947803699401,3.930721813374481,54.0,4.658296914513612,70
2009,66,0.3003558819165466,4.712621194114397,322.0,5.449196234287361,34
2009,68,0.3948092241855931,5.12527921692779,964.0,5.888030902370847,16
2009,8,0.150086957966824,4.293811891726091,252.0,5.078853385660763,94
2009,9,-0.0516587903805323,4.226772386498169,277.0,5.264626169979855,43
2009,E1,-0.1389411758325409,3.540493609928994,139.0,4.43855289528937,93
2009,E15,0.2194943470114339,4.5729661126994845,464.0,5.368114314235329,26
2009,E17,0.4287013173552374,4.715197509693262,330.0,5.275748597142542,35
2009,E18,0.4229750132537093,4.8423236660664095,408.0,5.458964838012241,46
2009,E19,0.0926604299376485,4.569704096419666,736.0,5.538531776280827,46
2009,E2,-0.2213076027228404,3.9146026783254686,311.0,5.068076232657438,94
2009,E23,0.2252940070570295,4.542554912379975,568.0,5.318176076802257,28
2009,E25,0.1434278723879192,4.6739254836834645,581.0,5.6122498752411225,28
2009,E40,-0.0792679782893461,4.21753330143823,515.0,5.289960297600339,41
2009,E51,-0.2415255652661674,4.036148868565727,309.0,5.263582548989737,30
2009,E53,-0.0412900575858321,4.219229089229315,293.0,5.239923768512364,45
2009,N10,-0.1838109854325194,3.158936200198588,53.0,3.974228514521908,45
2009,N4,-1.8797582621157891,2.466369863243491,36.0,5.357986732325824,44
2009,N51,0.1854675940931249,4.13554208331223,126.0,4.811790913768059,46
2009,N52,-0.796115439267167,3.452060809357338,321.0,5.222901732188409,46
2009,N57,-0.7682080404516425,3.330129818192696,54.0,5.016260271036341,30
2009,N9,-0.3653040599670376,2.804787879014333,16.0,3.7361204272153463,32
2009,NW10,-0.2446104051575446,4.078618577503153,261.0,5.326406625872524,88
2009,NW13,0.5354034544308721,4.401358436776536,143.0,4.695782073750356,47
2009,NW14,0.3434901081555317,4.786451693291494,402.0,5.491529328581111,48
2009,NW15,0.2286257908704856,3.7306606282209223,14.0,4.19390141076112,48
2009,NW16,-0.0074907579336009,3.849761810162623,171.0,4.683780612734306,29
2009,NW17,0.0066847052295231,3.831739523196892,151.0,4.639376837885173,87
2009,NW21,0.2890830582587851,4.50998748493801,145.0,5.185291283118596,30
2009,NW22,-0.0076099245010827,3.839570961731113,158.0,4.669890800804819,18
2009,NW30,-0.2011174251020993,4.074434168985105,253.0,5.260654950083391,52
2009,NW35,-0.0302297220748375,4.51522901645763,581.0,5.632882699667017,2
2009,NW61,-0.3159548359703401,3.5764462560281496,204.0,4.7322537866483065,42
2009,NW86,-0.4002380145930928,4.439352188938948,720.0,6.038518102625865,8
2009,W11,0.1295617807950217,3.346061439228222,63.0,3.800121107932288,43
2009,W15,-0.0677310217784894,3.076656206962223,26.0,3.7006711749688215,55
2009,W16,-0.0108491990885766,3.914363823378252,94.0,4.77750457488819,54
2009,W20,0.1732917988099194,4.6859704230971735,443.0,5.58767578903978,45
2009,W31,-0.2914460644028747,3.814674356002639,144.0,5.026993167552704,53
2009,W32,0.2147017796507815,4.0675724724848505,90.0,4.677737587933534,51
2009,W33,0.2552842890329945,3.868251538761243,7.0,4.34688781021395,62
2009,W34,0.1297382340084754,4.266820116684458,74.0,5.069691983282245,30
2009,W35,0.4082896122579358,4.75316184290678,225.0,5.356254733483258,8
2009,W5,-0.5051618822921906,3.1876204091623346,103.0,4.456960381378217,40
